Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling 
13-03-24,Swifterbant,Flevoland,Scha(a)p(en),2,,,,2,wolf,GW3694f,Nee,, € -   
13-03-24,Leusden,Utrecht,Scha(a)p(en),1,1,,,1,wolf,GW4076f,Nee,, € -   
13-03-24,Voorthuizen,Gelderland,Scha(a)p(en),2,4,,,2,wolf,onbekend,Nee,, € -   
13-03-24,Appelscha,Fryslân,Scha(a)p(en),8,5,7,3,11,wolf,GW4009m; gemixt profiel,Nee,, € -   
12-03-24,Ruinerwold,Drenthe,Scha(a)p(en),5,2,,,5,wolf,GW3689m,Nee,, € -   
12-03-24,Dronten,Flevoland,Scha(a)p(en),4,2,,,4,wolf,GW3694f,Nee,, € -   
12-03-24,Noordwolde,Fryslân,Scha(a)p(en),3,,,,3,wolf,GW3813m; gemixt profiel,Nee,, € -   
12-03-24,Elspeet,Gelderland,Scha(a)p(en),1,,,2,3,wolf,GW4004f,Ja,, € -   
12-03-24,Ede,Gelderland,Scha(a)p(en),3,,,,3,wolf,GW3876f,Nee,, € -   
12-03-24,Oudehorne,Fryslân,Scha(a)p(en),5,,7,,5,wolf,GW4009m,Nee,, € -   
11-03-24,Beilen,Drenthe,Scha(a)p(en),3,,,,3,wolf,GW3813m,Nee,, € -   
11-03-24,Harskamp,Gelderland,Pony('s),3,,,,3,wolf,gemixt profiel,Nee,, € -   
11-03-24,Uffelte,Drenthe,Scha(a)p(en),1,,,,1,wolf,onbekend,Nee,, € -   
10-03-24,Beilen,Drenthe,Scha(a)p(en),1,1,2,,1,wolf,GW3813m,Nee,, € -   
10-03-24,Dwingeloo,Drenthe,Scha(a)p(en),,,4,2,2,wolf,GW3813m,Nee,, € -   
10-03-24,Noordeinde,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3694f,Nee,, € -   
9-03-24,Swifterbant,Flevoland,Scha(a)p(en),5,,,,5,wolf,GW3694f,Nee,, € -   
9-03-24,Otterlo,Gelderland,Geit(en),1,,,,1,wolf,GW3691f,Nee,, € -   
9-03-24,Oosterwolde,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3694f,Nee,, € -   
9-03-24,Voorthuizen,Gelderland,Scha(a)p(en),1,1,,1,2,wolf,GW3425m; GW3816f,Nee,, € -   
9-03-24,Oudehorne,Fryslân,Scha(a)p(en); Geit(en),4,4,,4,8,wolf,GW4009m,Nee,, € -   
8-03-24,Oldebroek,Gelderland,Scha(a)p(en),2,,,,2,wolf,onbekend,Nee,, € -   
