Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling ,latitude,longitude,year_month
2024-04-07,Ermelo,Gelderland,Geit(en),1.0,,,,1,wolf,onbekend,Nee,, € -   ,52.2858356,5.654938589920705,2024-04
2024-04-07,Kallenkote,Overijssel,Scha(a)p(en),1.0,,,,1,wolf,onbekend,Nee,, € -   ,52.7965731,6.1740658,2024-04
2024-04-07,Elburg,Gelderland,Scha(a)p(en),2.0,,,,2,wolf,onbekend,Nee,, € -   ,52.41565915,5.841321708557087,2024-04
2024-04-07,Hulshorst,Gelderland,Scha(a)p(en),5.0,,,,5,wolf,GW3694f,Nee,, € -   ,52.3607721,5.7205644,2024-04
2024-04-07,Vledder,Drenthe,Scha(a)p(en),4.0,6.0,5.0,4.0,8,wolf,GW3689m; GW3690m,Ja,, € -   ,52.8574791,6.2101824,2024-04
2024-04-06,Wapserveen,Drenthe,Scha(a)p(en),5.0,3.0,,5.0,10,wolf,GW3882m,Nee,, € -   ,52.8252174,6.2158906,2024-04
2024-04-05,Kallenkote,Overijssel,Scha(a)p(en),7.0,3.0,6.0,13.0,20,wolf,GW3812m; GW3813m?,Nee,, € -   ,52.7965731,6.1740658,2024-04
2024-04-05,Ede,Gelderland,Pony('s),1.0,,,,1,wolf,onbekend,Nee,, € -   ,52.07168255,5.745510631034939,2024-04
2024-04-04,Ede,Gelderland,Scha(a)p(en),3.0,,,,3,wolf,GW3012f,Nee,, € -   ,52.07168255,5.745510631034939,2024-04
2024-04-04,Oosterwolde,Fryslân,Scha(a)p(en),5.0,,,,5,wolf,GW3689m,Nee,, € -   ,52.9892251,6.2908202,2024-04
2024-04-03,Finsterwolde,Groningen,Scha(a)p(en),1.0,,,1.0,2,wolf,GW3824m?,Nee,, € -   ,53.1983282,7.083378,2024-04
2024-04-03,Fochteloo,Fryslân,Scha(a)p(en),4.0,,11.0,10.0,14,wolf,onbekend,Nee,, € -   ,52.993346,6.3346246,2024-04
2024-04-02,Oldeberkoop,Fryslân,Geit(en),3.0,,,,3,wolf,gemixt profiel,Nee,, € -   ,52.9384572,6.1301707,2024-04
2024-04-02,Haule,Fryslân,Scha(a)p(en),3.0,5.0,,,3,wolf,GW3689m,Nee,, € -   ,53.0366149,6.3063466,2024-04
2024-04-02,Nijkerk,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,GW3425m,Nee,, € -   ,52.21485365,5.478146323965094,2024-04
2024-04-02,Kootwijkerbroek,Gelderland,Scha(a)p(en),1.0,,,,1,wolf,GW3238m,Nee,, € -   ,52.1513512,5.6631504,2024-04
2024-04-01,Bakkeveen,Fryslân,Scha(a)p(en),1.0,1.0,,1.0,2,wolf,GW3690m,Nee,, € -   ,53.0806017,6.2560227,2024-04
2024-04-01,Leusden,Utrecht,Scha(a)p(en); Geit(en),9.0,2.0,,,9,wolf,GW4076f,Nee,, € -   ,52.130355,5.4286989,2024-04
2024-03-30,Lage Mierde,Noord-Brabant,Scha(a)p(en),1.0,,,,1,wolf,GW2398m,Nee,, € -   ,51.4066691,5.1491649,2024-03
2024-03-29,Appelscha,Fryslân,Scha(a)p(en),1.0,,,,1,wolf,GW3690m,Nee,, € -   ,52.9524178,6.3441136,2024-03
2024-03-29,Veghel,Noord-Brabant,Scha(a)p(en),1.0,,,,1,vermoedelijk wolf,onbekend,Nee,, € -   ,51.6134636,5.5446455,2024-03
2024-03-29,Haulerwijk,Fryslân,Scha(a)p(en),3.0,2.0,,,3,wolf,GW3689m,Nee,, € -   ,53.065367,6.3310325,2024-03
