Datum waarneming;Leefgebied of gemeente;Provincie;Type waarneming;Classificering,
04-12-22;Heerde;Gelderland;Wolf gezien;C1,
04-12-22;Heerde;Gelderland;Wolf gezien;C1,
03-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
03-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
03-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
03-12-22;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
03-12-22;Arnhem;Gelderland;Wolf gezien;C1,
03-12-22;Arnhem;Gelderland;Wolf gezien;C1,
03-12-22;Heerde;Gelderland;Wolf gezien;C1,
03-12-22;Heerde;Gelderland;Wolf gezien;C1,
03-12-22;Heerde;Gelderland;Wolf gezien;C1,
03-12-22;Heerde;Gelderland;Wolf gezien;C1,
02-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
02-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
02-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
02-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
02-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
02-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
02-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
02-12-22;Arnhem;Gelderland;Wolf gezien;C1,
02-12-22;Arnhem;Gelderland;Wolf gezien;C1,
02-12-22;Ede;Gelderland;Wolf gezien;C1,
02-12-22;Heerde;Gelderland;Wolf gezien;C1,
02-12-22;Heerde;Gelderland;Wolf gezien;C1,
02-12-22;Heerde;Gelderland;Wolf gezien;C1,
02-12-22;Heerde;Gelderland;Wolf gezien;C1,
02-12-22;Westerveld;Drenthe;Wolf gezien;C1,
01-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
01-12-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
01-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
01-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
01-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
01-12-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
01-12-22;Heerde;Gelderland;Wolf gezien;C1,
01-12-22;Heerde;Gelderland;Wolf gezien;C1,
01-12-22;Heerde;Gelderland;Wolf gezien;C1,
01-12-22;Heerde;Gelderland;Wolf gezien;C1,
30-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
30-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
30-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C1,
30-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
30-11-22;Heerde;Gelderland;Wolf gezien;C1,
