Datum waarneming,Leefgebied of gemeente,Provincie,Type waarneming,Classificering,latitude,longitude
2-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
2-06-24,Woudenberg,Utrecht,Wolf gezien,C1,52.08025955,5.4122265761644925
1-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
1-06-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
1-06-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
1-06-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
31-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
31-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
31-05-24,Westerveld,Drenthe,Wolvenkeutel,C2,52.828469850000005,6.311221629926694
30-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
30-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
30-05-24,Zeist,Utrecht,Wolvenkeutel,C2,52.0892832,5.2276307
30-05-24,Westerveld,Drenthe,Wolvenkeutel,C2,52.828469850000005,6.311221629926694
30-05-24,Westerveld,Drenthe,Wolvenkeutel,C2,52.828469850000005,6.311221629926694
30-05-24,Westerveld,Drenthe,Wolvenkeutel,C2,52.828469850000005,6.311221629926694
30-05-24,Westerveld,Drenthe,Wolvenkeutel,C2,52.828469850000005,6.311221629926694
30-05-24,Westerveld,Drenthe,Wolvenkeutel,C2,52.828469850000005,6.311221629926694
29-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
29-05-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
29-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
28-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
28-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
28-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
28-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
28-05-24,Oldambt,Groningen,Wolf gezien,C1,53.2223408,7.068982392062174
27-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
27-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
27-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
27-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
27-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
27-05-24,Westerveld,Drenthe,Wolvenkeutel,C2,52.828469850000005,6.311221629926694
26-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
26-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
26-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
25-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
25-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
25-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
25-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
25-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
25-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
24-05-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
24-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
24-05-24,Heerde,Gelderland,Wolvenkeutel,C2,52.4056303,6.0413984003658525
24-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
24-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
24-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
23-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
23-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
23-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
23-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
23-05-24,Ermelo,Gelderland,Wolf gezien,C1,52.2858356,5.654938589920705
23-05-24,Ermelo,Gelderland,Wolf gezien,C1,52.2858356,5.654938589920705
23-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
23-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
23-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
23-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
23-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
22-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
22-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
22-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
22-05-24,Midden-Drenthe,Drenthe,Wolvenkeutel,C2,52.87061935,6.568055858657804
22-05-24,Midden-Drenthe,Drenthe,Wolvenkeutel,C2,52.87061935,6.568055858657804
21-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
21-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
20-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
20-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
20-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
20-05-24,Woudenberg,Utrecht,Wolf gezien,C1,52.08025955,5.4122265761644925
20-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
19-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
19-05-24,Harderwijk,Gelderland,Wolf gezien,C1,52.3490693,5.618933
18-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
18-05-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
18-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
18-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
18-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
18-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
18-05-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
17-05-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
17-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
17-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
17-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
17-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
17-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
17-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
17-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
17-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
16-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
16-05-24,Heerde,Gelderland,Wolvenkeutel,C2,52.4056303,6.0413984003658525
16-05-24,Heerde,Gelderland,Wolvenkeutel,C2,52.4056303,6.0413984003658525
16-05-24,Leusden,Utrecht,Wolvenkeutel,C1,52.130355,5.4286989
16-05-24,Leusden,Utrecht,Wolvenkeutel,C1,52.130355,5.4286989
16-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
16-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
15-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
15-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
15-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
15-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
15-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
15-05-24,Zeist,Utrecht,Wolf gezien,C1,52.0892832,5.2276307
14-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
14-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
13-05-24,Harderwijk,Gelderland,Wolf gezien,C1,52.3490693,5.618933
13-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
13-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
13-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
12-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
12-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
12-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
11-05-24,Heerde,Gelderland,Wolvenkeutel,C2,52.4056303,6.0413984003658525
11-05-24,Heerde,Gelderland,Wolf gezien,C1,52.4056303,6.0413984003658525
11-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
11-05-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
10-05-24,Veluwe,Gelderland,Wolvenkeutel,C2,52.2181217,5.817093715564447
10-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
10-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
10-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
10-05-24,Veluwe,Gelderland,Wolf gezien,C1,52.2181217,5.817093715564447
10-05-24,Heerde,Gelderland,Wolvenkeutel,C2,52.4056303,6.0413984003658525
10-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
10-05-24,Leusden,Utrecht,Wolf gezien,C1,52.130355,5.4286989
10-05-24,Midden-Drenthe,Drenthe,Wolf gezien,C1,52.87061935,6.568055858657804
